"module name","license","repository"
"d3-quadtree@1.0.7","BSD-3-Clause","https://github.com/d3/d3-quadtree"
"d3-random@1.1.2","BSD-3-Clause","https://github.com/d3/d3-random"
"d3-scale-chromatic@1.5.0","BSD-3-Clause","https://github.com/d3/d3-scale-chromatic"
"d3-scale@2.2.2","BSD-3-Clause","https://github.com/d3/d3-scale"
"d3-selection@1.4.2","BSD-3-Clause","https://github.com/d3/d3-selection"
"d3-shape@1.3.7","BSD-3-Clause","https://github.com/d3/d3-shape"
"d3-time-format@2.3.0","BSD-3-Clause","https://github.com/d3/d3-time-format"
"d3-time@1.1.0","BSD-3-Clause","https://github.com/d3/d3-time"
"d3-timer@1.0.10","BSD-3-Clause","https://github.com/d3/d3-timer"
"d3-transition@1.3.2","BSD-3-Clause","https://github.com/d3/d3-transition"
"d3-voronoi@1.1.4","BSD-3-Clause","https://github.com/d3/d3-voronoi"
"d3-zoom@1.8.3","BSD-3-Clause","https://github.com/d3/d3-zoom"
"d3@5.16.0","BSD-3-Clause","https://github.com/d3/d3"
"egeria-ui@0.0.3","Apache-2.0","https://github.com/odpi/egeria-ui"
"highcharts@8.1.2","Custom: https://www.npmjs.com/package/highcharts-export-server","https://github.com/highcharts/highcharts-dist"
"intl-messageformat-parser@1.4.0","BSD-3-Clause","https://github.com/yahoo/intl-messageformat-parser"
"intl-messageformat@2.2.0","BSD-3-Clause","https://github.com/yahoo/intl-messageformat"
"lit-element@2.4.0","BSD-3-Clause","https://github.com/Polymer/lit-element"
"lit-html@1.3.0","BSD-3-Clause","https://github.com/Polymer/lit-html"
"multiselect-combo-box@2.4.2","Apache-2.0","https://github.com/gatanaso/multiselect-combo-box"
"rw@1.3.3","BSD-3-Clause","https://github.com/mbostock/rw"
"web-animations-js@2.3.2","Apache-2.0","https://github.com/web-animations/web-animations-js"
